Unnamed: 0,Name,Episodes,Release,Members,Score
2617,Gu-Gu Ganmo,50.0,Mar 1984 - Mar 1985,1202,6.73
2638,RPG Fudousan,12.0,Apr 2022 - Jun 2022,45535,6.73
788,Jigoku Shoujo,26.0,Oct 2005 - Apr 2006,356983,7.61
2562,Kami Kuzu☆Idol,10.0,Jul 2022 - Sep 2022,23227,6.75
3173,Morita-san wa Mukuchi.,13.0,Jul 2011 - Sep 2011,24395,6.5
4046,Jungle Kurobee,31.0,Mar 1973 - Sep 1973,609,5.98
2484,Beatless Final Stage,4.0,Sep 2018 - Sep 2018,36799,6.79
3995,Yami Shibai 7,13.0,Jul 2019 - Sep 2019,20480,6.02
837,Ga-Rei: Zero,12.0,Oct 2008 - Dec 2008,237162,7.58
4347,Babel Nisei (2001),13.0,Oct 2001 - Dec 2001,3799,5.68
3689,Neko Neko Nihonshi,32.0,Apr 2016 - Feb 2017,3254,6.23
2368,Hakaba Kitarou,11.0,Jan 2008 - Mar 2008,12014,6.86
648,Enen no Shouboutai,24.0,Jul 2019 - Dec 2019,1312063,7.71
736,Gakuen Alice,26.0,Oct 2004 - May 2005,99257,7.64
3514,Umayon,12.0,Jul 2020 - Sep 2020,16667,6.33
3150,Cardfight!! Vanguard G,48.0,Oct 2014 - Oct 2015,15885,6.51
2247,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,13.0,Jan 2013 - Mar 2013,549477,6.92
2411,Kawaisugi Crisis,12.0,Apr 2023 - Jun 2023,39070,6.83
1798,Mahoromatic: Motto Utsukushii Mono,14.0,Sep 2002 - Jan 2003,32693,7.13
4105,Gon 2nd Season,26.0,Apr 2015 - Sep 2015,726,5.93
2402,Wakakusa no Charlotte,30.0,Oct 1977 - May 1978,3100,6.84
2683,Houkago Saikoro Club,12.0,Oct 2019 - Dec 2019,49562,6.71
1008,Lady Jewelpet,52.0,Apr 2014 - Mar 2015,11339,7.48
3237,Shining Tears X Wind,13.0,Apr 2007 - Jun 2007,34781,6.47
2975,Gift: Eternal Rainbow,12.0,Oct 2006 - Dec 2006,31684,6.58
231,InuYasha: Kanketsu-hen,26.0,Oct 2009 - Mar 2010,280558,8.2
675,Kidou Keisatsu Patlabor: On Television,47.0,Oct 1989 - Sep 1990,38446,7.68
2963,E's Otherwise,26.0,Apr 2003 - Sep 2003,16485,6.59
1787,Suki na Ko ga Megane wo Wasureta,13.0,Jul 2023 - Sep 2023,175643,7.14
2806,Suteki Tantei Labyrinth,25.0,Oct 2007 - Mar 2008,10121,6.66
2618,Gunparade March: Arata Naru Kougunka,12.0,Feb 2003 - Apr 2003,16647,6.73
3715,Qin Shi Mingyue: Bai Bu Fei Jian,10.0,Feb 2007 - Feb 2007,3578,6.22
4394,Duel Masters King,47.0,Apr 2020 - Mar 2021,946,5.63
2970,C³,12.0,Oct 2011 - Dec 2011,176064,6.58
4319,Fireball Humorous,3.0,Oct 2017 - Dec 2017,3556,5.72
428,Log Horizon,25.0,Oct 2013 - Mar 2014,1106439,7.92
446,Gakuen Babysitters,12.0,Jan 2018 - Mar 2018,334449,7.9
4635,BAR Kiraware Yasai,13.0,Apr 2015 - Jun 2015,2758,4.94
603,Udon no Kuni no Kiniro Kemari,12.0,Oct 2016 - Dec 2016,133115,7.75
4220,Shikizakura,12.0,Oct 2021 - Dec 2021,16924,5.83
4456,Anisava,13.0,Aug 2013 - Jan 2014,849,5.52
4462,Bermuda Triangle: Colorful Pastrale,12.0,Jan 2019 - Mar 2019,8475,5.51
3669,Kashi no Ki Mokku,52.0,Jan 1972 - Dec 1972,2171,6.24
1796,Kuromukuro,26.0,Apr 2016 - Sep 2016,142115,7.13
2685,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,10.0,Apr 2021 - Jun 2021,402931,6.71
2022,Ookami Shoujo to Kuro Ouji,12.0,Oct 2014 - Dec 2014,466766,7.03
2496,Kamisama ni Natta Hi,12.0,Oct 2020 - Dec 2020,256677,6.79
3950,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,12.0,Jan 2017 - Mar 2017,10419,6.05
4129,Sugar Bunnies Chocolate!,26.0,Apr 2008 - Sep 2008,791,5.9
881,Perrine Monogatari,53.0,Jan 1978 - Dec 1978,6274,7.55
3769,Animentary: Ketsudan,25.0,Apr 1971 - Sep 1971,1737,6.18
3186,Aikatsu Planet!,24.0,Jan 2021 - Jun 2021,3810,6.49
4100,Assassins Pride,12.0,Oct 2019 - Dec 2019,339625,5.93
1653,"Inari, Konkon, Koi Iroha.",10.0,Jan 2014 - Mar 2014,164233,7.19
2646,Shin Tennis no Oujisama: U-17 World Cup,13.0,Jul 2022 - Sep 2022,14603,6.72
3353,Sister Princess,26.0,Apr 2001 - Sep 2001,24915,6.41
1559,Kazemakase Tsukikage Ran,13.0,Jan 2000 - Apr 2000,17112,7.22
3953,Gebäude Bäude,10.0,Nov 2020 - Dec 2020,1481,6.05
2008,Soredemo Ayumu wa Yosetekuru,12.0,Jul 2022 - Sep 2022,158495,7.03
1269,The iDOLM@STER Cinderella Girls 2nd Season,12.0,Jul 2015 - Oct 2015,36470,7.35
